alpha_deg,branch,batch,iterations,C_L
18.0,upstroke,8,1600,1.598538848919136
18.0,upstroke,9,1800,1.548606282975006
18.0,upstroke,10,2000,1.596439014108715
18.0,upstroke,11,2200,1.568148650194876
18.0,upstroke,12,2400,1.568304689515352
18.0,upstroke,13,2600,1.575066695298032
18.0,upstroke,14,2800,1.575455188935572
19.0,upstroke,1,200,0.3566932991719374
19.0,upstroke,2,400,1.525131817796157
19.0,upstroke,3,600,1.492691449176323
19.0,upstroke,4,800,0.818521691059703
19.0,upstroke,5,1000,0.6196308699909063
19.0,upstroke,6,1200,0.7930273286229368
19.0,upstroke,7,1400,1.076377178029339
19.0,upstroke,8,1600,0.3395804125320084
19.0,upstroke,9,1800,1.201623996772392
19.0,upstroke,10,2000,0.572900394418603
19.0,upstroke,11,2200,0.4880152781953697
19.0,upstroke,12,2400,0.5232596750569559
19.0,upstroke,13,2600,1.605648546353551
19.0,upstroke,14,2800,1.434022506515555
19.0,upstroke,15,3000,0.6802079227241795
19.0,upstroke,16,3200,0.3264382003943242
19.0,upstroke,17,3400,0.7830989392290498
19.0,upstroke,18,3600,0.4357483185656761
19.0,upstroke,19,3800,0.6455804953458367
19.0,upstroke,20,4000,0.5431267986672038
19.0,upstroke,21,4200,0.5558374381170806
19.0,upstroke,22,4400,1.270910365867718
19.0,upstroke,23,4600,1.084463437055062
19.0,upstroke,24,4800,1.013066187651168
19.0,upstroke,25,5000,0.6481710509159311
20.0,upstroke,1,200,0.8427416420177202
20.0,upstroke,2,400,1.52650140264561
20.0,upstroke,3,600,0.4770537362433036
20.0,upstroke,4,800,1.033120284660179
20.0,upstroke,5,1000,0.4359567387694574
20.0,upstroke,6,1200,0.4646501469450182
20.0,upstroke,7,1400,1.414387281760656
20.0,upstroke,8,1600,0.6226747712894004
20.0,upstroke,9,1800,1.643103077754551
20.0,upstroke,10,2000,0.5012745738358062
20.0,upstroke,11,2200,0.5513976027880513
20.0,upstroke,12,2400,1.08557348346013
20.0,upstroke,13,2600,1.260599971400498
20.0,upstroke,14,2800,0.5129582899342479
20.0,upstroke,15,3000,0.8932183584266145
20.0,upstroke,16,3200,0.9427938160181871
20.0,upstroke,17,3400,0.4133631538276891
20.0,upstroke,18,3600,1.232952453469467
20.0,upstroke,19,3800,0.7994391942476938
20.0,upstroke,20,4000,0.442219115168752
20.0,upstroke,21,4200,0.5614303967123511
20.0,upstroke,22,4400,0.4922079822308762
20.0,upstroke,23,4600,0.4072656383345646
20.0,upstroke,24,4800,0.6979538391229174
20.0,upstroke,25,5000,1.078674863652672
21.0,upstroke,1,200,0.5335557172278815
21.0,upstroke,2,400,0.5292109786770028
21.0,upstroke,3,600,0.7582701979638118
21.0,upstroke,4,800,1.273762939642019
21.0,upstroke,5,1000,0.9933559113880492
21.0,upstroke,6,1200,0.4558402973904803
21.0,upstroke,7,1400,0.7297137699657009
21.0,upstroke,8,1600,1.041759221972583
21.0,upstroke,9,1800,0.4113202800111794
21.0,upstroke,10,2000,1.033478871417331
21.0,upstroke,11,2200,0.5610783496510101
21.0,upstroke,12,2400,1.326476048139624
21.0,upstroke,13,2600,0.4879114461795853
21.0,upstroke,14,2800,1.437839855037363
21.0,upstroke,15,3000,0.4194275549571576
21.0,upstroke,16,3200,0.7488170443272009
21.0,upstroke,17,3400,0.5399519362372684
21.0,upstroke,18,3600,0.5602028828679038
21.0,upstroke,19,3800,0.6494234258841043
21.0,upstroke,20,4000,0.6591989058916956
21.0,upstroke,21,4200,1.305154647742671
21.0,upstroke,22,4400,0.7612633080322428
21.0,upstroke,23,4600,0.5278897025232224
21.0,upstroke,24,4800,0.7769512986582339
21.0,upstroke,25,5000,1.262322248158464
22.0,upstroke,1,200,0.9199642640363888
22.0,upstroke,2,400,0.5931072050705762
22.0,upstroke,3,600,0.5743521414440517
22.0,upstroke,4,800,0.6025005968969688
22.0,upstroke,5,1000,0.6209532791432912
22.0,upstroke,6,1200,1.004914467687914
22.0,upstroke,7,1400,1.116353406525609
22.0,upstroke,8,1600,0.5940796734260719
22.0,upstroke,9,1800,0.5786530135478031
22.0,upstroke,10,2000,0.5892745155008361
22.0,upstroke,11,2200,0.5228849408786175
22.0,upstroke,12,2400,0.6117500328256071
22.0,upstroke,13,2600,0.6017166725712457
22.0,upstroke,14,2800,0.5973857480816324
22.0,upstroke,15,3000,0.6381104402238295
22.0,upstroke,16,3200,0.9055587424830766
22.0,upstroke,17,3400,1.025386872449225
22.0,upstroke,18,3600,0.704748023700967
22.0,upstroke,19,3800,0.5585513546688865
22.0,upstroke,20,4000,0.6004469480819812
22.0,upstroke,21,4200,0.602269672252882
22.0,upstroke,22,4400,0.6034967872947052
22.0,upstroke,23,4600,0.6046792128663179
22.0,upstroke,24,4800,0.8995281869293876
22.0,upstroke,25,5000,0.9455220122116748
21.0,downstroke,1,200,0.4678299321657384
21.0,downstroke,2,400,0.5485588702167472
21.0,downstroke,3,600,0.4518447497007655
21.0,downstroke,4,800,0.6360489559521757
21.0,downstroke,5,1000,1.337752098665871
21.0,downstroke,6,1200,0.3897880274089796
21.0,downstroke,7,1400,0.631283196820997
21.0,downstroke,8,1600,0.868411881563649
21.0,downstroke,9,1800,0.4583527229739148
21.0,downstroke,10,2000,0.6078604218700423
21.0,downstroke,11,2200,0.6051775066746542
21.0,downstroke,12,2400,0.9148648710387522
21.0,downstroke,13,2600,0.9398911381213094
21.0,downstroke,14,2800,1.199273880357175
21.0,downstroke,15,3000,1.311816119895923
21.0,downstroke,16,3200,0.6674926321931456
21.0,downstroke,17,3400,0.3964525072447927
21.0,downstroke,18,3600,1.461839243871374
21.0,downstroke,19,3800,1.257740556219337
21.0,downstroke,20,4000,1.226126716620332
21.0,downstroke,21,4200,0.4961498396406693
21.0,downstroke,22,4400,1.052433099300613
21.0,downstroke,23,4600,1.251622207120422
21.0,downstroke,24,4800,0.967638612932449
21.0,downstroke,25,5000,1.09929192716567
20.0,downstroke,1,200,0.6157233709982742
20.0,downstroke,2,400,0.94034641269572
20.0,downstroke,3,600,1.584507956326577
20.0,downstroke,4,800,0.7190689596282097
20.0,downstroke,5,1000,0.4634589667834249
20.0,downstroke,6,1200,0.511910085587888
20.0,downstroke,7,1400,1.351969002825423
20.0,downstroke,8,1600,0.8419423451811126
20.0,downstroke,9,1800,0.5327156300192974
20.0,downstroke,10,2000,0.9205260785515947
20.0,downstroke,11,2200,1.549651918698219
20.0,downstroke,12,2400,1.611055907246389
20.0,downstroke,13,2600,1.493342951760299
20.0,downstroke,14,2800,0.4213873305229251
20.0,downstroke,15,3000,1.651771017332427
20.0,downstroke,16,3200,1.34642643268865
20.0,downstroke,17,3400,0.4982131129802166
20.0,downstroke,18,3600,1.01717610214408
20.0,downstroke,19,3800,0.3858324489706835
20.0,downstroke,20,4000,1.240196980690197
20.0,downstroke,21,4200,0.4741673205447934
20.0,downstroke,22,4400,0.454913923951732
20.0,downstroke,23,4600,0.4991646326622999
20.0,downstroke,24,4800,1.350849413022255
20.0,downstroke,25,5000,0.5473260636275799
19.0,downstroke,1,200,1.361368828392877
19.0,downstroke,2,400,0.7151327883345149
19.0,downstroke,3,600,0.6396811694292706
19.0,downstroke,4,800,0.7885491507022434
19.0,downstroke,5,1000,1.373218790479076
19.0,downstroke,6,1200,0.8686747361352246
19.0,downstroke,7,1400,0.3804456382675766
19.0,downstroke,8,1600,1.505934769488876
19.0,downstroke,9,1800,1.562208460197049
19.0,downstroke,10,2000,1.225089931168424
19.0,downstroke,11,2200,0.9115344398573343
19.0,downstroke,12,2400,0.3875660411046838
19.0,downstroke,13,2600,0.4267111867894045
19.0,downstroke,14,2800,0.4896231864094718
19.0,downstroke,15,3000,1.638599261431049
